TARGET,ID,age,prod_A,type_A,type_B,prod_B,turnover_A,turnover_B,lor_M
Y,1643,54,0,0,0,0,480.5078757,272.2478773,3
Y,1772,25,0,0,0,0,326.357817,247.7666293,3
Y,1773,43,1,3,3,1,340.4123823,266.4347666,27
Y,1868,54,0,0,0,0,354.8859376,266.1983364,3
Y,1974,45,0,0,0,0,310.5550033,251.3612165,3
Y,2025,43,0,0,0,0,351.479835,274.147501,3
Y,2046,35,1,3,3,1,348.9546279,271.8421325,15
Y,2277,31,1,3,3,1,351.4572905,250.8053814,39
Y,2297,30,1,3,3,1,354.4795868,213.0008077,15
Y,2331,38,0,0,0,0,332.9351791,215.6123095,3
Y,2471,60,1,3,3,1,371.1465343,263.9800484,15
Y,2526,36,1,3,3,1,485.28443,212.9989517,15
Y,2540,37,1,3,3,1,429.1162989,269.3485575,51
Y,2570,24,0,0,0,0,466.0769914,235.4891159,3
Y,2604,41,1,3,3,1,347.6353013,215.0802201,15
Y,2610,51,0,0,0,0,449.2298674,242.2175531,15
Y,2638,39,0,0,0,0,407.5736519,206.5826993,3
Y,2680,41,1,3,3,1,358.5428864,264.5672595,15
Y,2706,62,0,0,0,0,344.7425297,273.0414451,3
Y,2720,34,1,3,3,1,382.8429331,222.4874563,27
Y,2743,37,0,0,3,1,330.6610977,284.1785693,51
Y,2840,47,1,3,3,1,365.0662967,230.2113157,15
Y,2856,35,0,0,0,0,463.5475552,218.4650971,3
Y,2878,47,0,0,0,0,397.1801145,249.7325628,3
Y,3029,33,0,0,0,0,322.0371528,278.0429824,3
Y,3059,30,1,3,3,1,362.2265175,259.3538206,15
Y,3151,44,1,3,3,1,355.9877212,213.4687725,15
Y,3188,45,0,0,0,0,483.7493538,209.3044978,3
Y,3243,35,0,0,0,0,469.8506251,232.6656759,3
Y,3245,37,0,0,0,0,330.5153009,246.167726,3
Y,3550,40,0,0,0,0,395.4059569,255.5188593,3
Y,3551,42,0,0,0,0,414.9964163,222.0976022,3
Y,3552,36,0,0,0,0,386.4227297,217.0796058,3
Y,3567,43,1,3,3,1,452.7959282,239.8947991,15
Y,3649,45,1,3,3,1,445.2171711,272.9905536,15
Y,3675,47,0,0,3,1,400.6196418,255.5528554,39
Y,3695,32,0,0,0,0,345.0225412,280.7558047,3
Y,3729,46,1,3,3,1,498.7577815,295.4912078,15
Y,3752,33,0,0,3,1,301.7754362,320.9810164,39
Y,3771,27,1,3,3,1,387.3789117,218.1336853,15
Y,3930,36,1,3,3,1,474.0021023,228.8921279,27
Y,4103,38,1,3,3,1,316.5968777,244.236322,39
Y,4122,48,0,0,0,0,481.4246113,244.54025,3
Y,4224,76,0,0,0,0,342.0181762,220.600672,3
Y,4242,40,1,3,3,1,446.2764174,281.7776333,27
Y,4282,68,0,0,0,0,467.8789669,253.4734982,3
Y,4313,44,0,0,3,1,381.6479121,241.1188415,39
Y,4439,36,1,3,3,1,482.1142444,228.2907589,15
Y,4491,31,0,0,0,0,456.449493,297.2263873,3
Y,4519,35,1,3,3,1,368.8192151,280.5634336,27
Y,4524,48,0,0,0,0,409.1050555,215.4096942,3
Y,4539,41,0,0,0,0,312.6336365,256.5657327,3
Y,4581,28,0,0,0,0,473.5660742,239.0892297,3
Y,4658,33,0,0,0,0,483.5123713,288.7696923,3
Y,4684,37,0,0,3,1,432.6715501,225.4485509,39
Y,4692,33,0,0,0,0,404.2846428,250.5500332,3
Y,4696,33,0,0,0,0,458.6829794,248.9905155,3
Y,4703,27,1,3,3,1,395.0555438,262.2595691,15
Y,4771,26,0,0,0,0,335.8713896,281.6832109,3
Y,4855,50,0,0,0,0,331.041272,273.8063642,3
Y,4874,31,0,0,0,0,339.5912915,211.2885733,3
Y,5043,48,0,0,3,1,398.6386355,201.3417876,27
Y,5118,42,1,6,6,1,449.9564515,202.9742895,27
Y,5153,56,0,0,0,0,434.0068412,200.9606197,3
Y,5164,39,0,0,0,0,392.1590153,230.4826126,3
Y,5166,44,0,0,0,0,473.7714354,255.4450709,3
Y,5210,43,1,3,3,1,453.3417441,243.9108958,39
Y,5220,39,1,3,3,1,419.1811071,205.5190047,15
Y,5264,41,0,0,0,0,404.6934278,231.205335,3
Y,5347,47,1,3,6,1,423.8875384,270.3330542,39
Y,5355,42,0,0,3,1,305.9338983,589.9232536,15
Y,5394,23,0,0,0,0,481.1917337,266.197191,3
Y,5396,32,0,0,0,0,498.5172935,271.7219308,3
Y,5434,53,0,0,0,0,350.5117901,294.6633115,3
Y,5484,60,1,3,3,1,438.8326233,299.5381436,39
Y,5489,45,1,3,3,1,349.3137197,218.2815266,15
Y,5529,48,0,0,0,0,304.8348666,298.3698567,3
Y,5570,23,1,3,3,1,359.4325264,270.8508973,15
Y,5573,40,1,3,3,1,493.7564032,226.3001188,39
Y,5579,23,1,3,3,1,430.302531,266.2612746,27
Y,5631,24,0,0,0,0,315.2266663,215.0938571,3
Y,5672,32,0,0,0,0,416.779877,277.2634684,3
Y,5724,32,0,0,0,0,349.4288479,216.5517275,3
Y,5788,24,1,3,3,1,411.0083694,275.9083938,27
Y,5831,44,1,3,3,1,1208.586752,1034.462677,15
Y,5910,28,0,0,0,0,487.2101303,291.3114609,3
Y,5979,56,1,3,3,1,379.5641534,273.6767544,15
Y,6033,51,0,0,3,1,400.4821769,229.6255536,27
Y,6151,57,0,0,0,0,467.2427156,291.1993298,3
Y,6174,27,0,0,0,0,433.8281487,277.14723,3
Y,6185,39,0,0,0,0,338.3617748,270.1805955,3
Y,6211,32,1,3,3,1,425.6802104,229.297519,15
Y,6278,31,1,3,3,1,358.4748748,256.2523934,15
Y,6340,55,1,3,3,1,400.3134579,300.4917007,27
Y,6359,31,0,0,0,0,312.1365855,267.5600718,3
Y,6373,31,0,0,0,0,450.3261521,285.6002813,3
Y,6405,45,0,0,0,0,353.0891634,256.240863,3
Y,6408,38,0,0,0,0,400.8215982,278.6567258,3
Y,6414,52,1,3,3,1,425.5385372,258.3533744,39
Y,6468,49,0,0,0,0,492.0543682,284.6387781,3
Y,6484,38,0,0,0,0,376.2806118,278.3589577,3
Y,6494,29,0,0,0,0,349.9212957,210.3536204,3
Y,6604,35,1,3,3,1,303.803895,289.5291137,15
Y,6733,64,1,3,3,1,446.5331938,293.5178833,15
Y,6739,23,0,0,0,0,322.448413,216.2997428,3
Y,6773,38,0,0,0,0,470.9297015,268.2841323,3
Y,6787,30,1,3,3,1,392.1401841,270.2032291,15
Y,6798,51,0,0,0,0,355.5638088,207.3567579,3
Y,6815,35,1,3,3,1,304.7362834,237.4389383,27
Y,6867,34,0,0,0,0,360.2886179,265.738327,3
Y,6895,38,0,0,0,0,487.8662589,233.8635119,3
Y,6938,29,0,0,0,0,451.9228892,277.0948003,3
Y,6972,74,0,0,0,0,421.8286666,214.8462207,3
Y,7011,37,0,0,3,1,392.0630343,244.1771173,39
Y,7237,44,0,0,0,0,431.0042576,239.1786499,3
Y,7248,62,1,3,3,1,347.0261133,241.3680039,15
Y,7270,46,1,3,3,1,475.7195566,251.8356607,15
Y,7277,34,0,0,0,0,480.2997815,275.6758071,3
Y,7294,26,1,3,3,1,321.1812859,219.1681281,15
Y,7415,39,1,3,3,1,317.806722,246.5679802,15
Y,7425,57,1,3,3,1,345.559724,273.2780856,27
Y,7444,47,0,0,0,0,373.0433842,205.8266234,3
Y,7493,69,0,0,0,0,479.4878634,242.8957,3
Y,7511,26,1,3,3,1,418.9115443,230.4226083,15
Y,7574,43,0,0,0,0,409.930298,293.0342329,3
Y,7597,48,0,0,0,0,303.8744189,231.2711158,3
Y,7631,28,1,3,3,1,369.4700505,282.2822571,15
Y,7635,59,0,0,0,0,453.5837601,294.5652903,3
Y,7640,38,0,0,0,0,347.0107717,232.1000442,3
Y,7752,41,0,0,0,0,448.7673477,240.9328533,27
Y,7777,34,0,0,0,0,433.5744569,298.3410615,3
Y,7815,42,1,3,3,1,448.7309691,215.693554,15
Y,7832,30,1,3,3,1,399.7412734,205.32458,15
Y,7841,34,0,0,0,0,340.4561054,273.7855119,3
Y,7865,42,0,0,0,0,388.5435193,276.7065751,15
Y,7867,39,0,0,0,0,473.7910853,234.5813318,3
Y,7939,54,0,0,0,0,447.3516756,209.2214178,3
Y,7941,43,0,0,0,0,442.9442751,282.3150304,3
Y,7945,38,0,0,0,0,411.891372,229.361741,3
Y,7967,32,1,3,3,1,445.6475059,282.7795277,15
Y,7985,35,1,3,3,1,361.0788275,254.9859693,27
Y,8029,39,1,3,3,1,488.9339499,237.1757718,15
Y,8041,49,0,0,0,0,464.8032669,216.6899326,3
Y,8159,43,0,0,0,0,386.2142488,214.3993422,15
Y,8172,28,1,3,3,1,333.6299579,297.1116332,15
Y,8190,53,0,0,0,0,491.6382574,231.3830213,3
Y,8261,67,1,3,3,1,346.8409362,294.4342529,27
Y,8331,25,0,0,0,0,377.0079003,290.7383953,3
Y,8352,52,0,0,0,0,339.9613129,247.7615131,3
Y,8397,50,0,0,0,0,464.2806211,280.800273,3
Y,8406,71,0,0,0,0,307.8015957,294.8713311,3
Y,8443,47,0,0,0,0,436.1204245,201.9580585,3
Y,8489,31,1,3,3,1,342.143562,269.4721396,15
Y,8556,34,0,0,0,0,392.9277319,238.1024827,3
Y,8653,65,0,0,0,0,477.4339053,203.6938807,3
Y,8839,45,0,0,0,0,364.8573483,202.7942639,3
Y,8887,51,0,0,0,0,389.1181872,239.6256747,3
Y,8916,35,0,0,0,0,380.6381423,284.7681336,3
Y,8962,50,0,0,0,0,471.7273866,212.367915,3
Y,9000,41,1,3,3,1,354.9304018,254.0646523,27
Y,9087,41,0,0,0,0,340.7313675,262.4416603,3
Y,9159,35,0,0,0,0,420.5184449,234.4872494,3
Y,9217,36,1,3,3,1,490.0940865,291.8076599,15
Y,9330,25,0,0,0,0,433.5932563,243.4535445,3
Y,9346,37,0,0,0,0,335.5049203,252.6111294,3
Y,9381,38,0,0,3,1,495.7691401,245.9539953,39
Y,9384,35,0,0,0,0,454.1707039,236.4148462,3
Y,9402,39,0,0,0,0,344.7552321,286.3901133,15
Y,9482,65,1,3,3,1,343.0561904,212.1586303,15
Y,9521,42,0,0,0,0,395.6228043,216.4759708,3
Y,9525,24,1,3,3,1,324.1569612,214.0052729,15
Y,9533,23,0,0,0,0,334.6561551,248.3705853,3
Y,9540,49,0,0,0,0,495.0882713,238.5367337,3
Y,9677,27,1,3,3,1,347.4451961,287.1798201,15
Y,9778,56,1,3,3,1,387.9288899,273.8765185,15
Y,9880,50,1,3,3,1,434.827979,304.617523,15
Y,9887,43,1,3,3,1,477.1809672,285.4784582,27
Y,10077,32,0,0,0,0,377.1150257,222.8241206,3
Y,10262,40,0,0,0,0,369.8195676,250.9026773,3
Y,10299,32,0,0,0,0,497.0299207,263.7408869,3
Y,10374,47,1,3,3,1,318.9829289,217.1930737,15
Y,10430,23,0,0,3,1,469.1382019,207.7912051,39
Y,10443,23,0,0,0,0,411.09276,219.0114758,3
Y,10468,50,0,0,0,0,457.8209932,204.4947878,3
Y,10476,41,0,0,0,0,407.2005252,220.9386809,3
Y,10546,38,1,3,3,1,345.6973001,300.0007226,27
Y,10627,25,1,3,3,1,462.0826283,229.3910647,15
Y,10693,63,0,0,0,0,494.020715,241.4212338,3
Y,10827,36,0,0,0,0,337.594416,244.9741325,3
Y,10843,30,1,3,3,1,495.8586481,237.9921049,27
Y,10877,56,0,0,0,0,498.0647756,292.4767248,3
Y,10886,28,1,3,3,1,340.1046365,247.8830179,15
Y,10983,46,0,0,0,0,373.8858221,290.4493392,3
Y,11041,35,0,0,0,0,416.3149653,273.6218763,3
Y,11114,32,1,3,3,1,437.4441212,223.5186659,27
Y,11154,32,1,3,3,1,419.7470823,296.5092592,15
Y,11244,26,1,3,3,1,457.694312,261.5702497,15
Y,11262,34,0,0,0,0,303.4577202,224.2889279,3
Y,11273,37,0,0,0,0,303.1187432,206.008336,3
Y,11305,55,0,0,0,0,461.721993,240.3037281,3
Y,11331,48,0,0,0,0,404.6971763,278.4943238,3
Y,11352,32,1,3,3,1,421.1104832,319.3826126,27
Y,11365,34,1,3,3,1,332.4376801,316.4547919,39
Y,11479,53,1,3,3,1,458.6862903,230.2343599,15
Y,11614,60,0,0,0,0,455.2974713,205.4993328,3
Y,11677,33,1,3,3,1,438.1058643,268.2849683,27
Y,11748,42,1,3,3,1,428.5683455,274.3821506,27
Y,11896,32,0,0,0,0,432.2302183,289.4612023,3
Y,11948,54,0,0,0,0,403.9690667,296.7979705,3
Y,12020,45,1,3,3,1,448.5696457,232.0900895,27
Y,12120,35,0,0,0,0,387.4535484,262.9079473,3
Y,12165,32,1,3,3,1,456.7897896,262.1651175,15
Y,12177,37,1,3,3,1,345.0556431,289.5642181,15
Y,12234,27,1,3,3,1,428.363539,211.8867319,27
Y,12318,35,0,0,0,0,430.5417332,280.5468593,3
Y,12321,32,0,0,3,1,338.2280169,265.0339315,39
Y,12369,47,0,0,3,1,312.4870702,269.3986205,39
Y,12498,23,1,3,3,1,338.4412166,206.4883764,27
Y,12561,43,1,3,3,1,443.2661875,295.6259415,15
Y,12573,39,1,3,3,1,338.2294893,200.6845861,27
Y,12625,28,1,3,3,1,332.632443,261.6743978,27
Y,12626,24,0,0,0,0,378.9744171,218.3805482,3
Y,12724,39,1,3,3,1,460.7289626,211.7834052,15
Y,12831,61,0,0,0,0,415.9540673,209.4325695,3
Y,12849,41,1,3,3,1,364.4487072,257.6501283,15
Y,12861,48,1,3,3,1,359.1770116,266.7938344,15
Y,12916,60,1,3,6,1,329.6010756,751.350868,27
Y,12950,32,1,3,3,1,490.0128504,269.0827783,27
Y,12982,69,0,0,0,0,384.4791795,284.2337407,3
Y,12994,26,0,0,0,0,386.3859371,286.4754432,3
Y,13031,52,0,0,0,0,422.2056779,222.1852386,3
Y,13086,28,0,0,0,0,306.3502899,234.4375766,3
Y,13104,48,0,0,0,0,354.1006599,290.2265169,3
Y,13158,49,0,0,0,0,494.1515045,257.7178894,3
Y,13231,31,0,0,0,0,377.9758169,242.6667668,3
Y,13234,23,0,0,0,0,482.088212,201.4231818,3
Y,13239,34,1,3,3,1,436.8119315,253.1793456,15
Y,13271,42,0,0,0,0,493.063338,233.8954432,3
Y,13289,35,0,0,0,0,432.446362,255.6814687,3
Y,13430,34,0,0,0,0,467.2300889,251.286827,3
Y,13438,39,1,3,3,1,369.3649166,219.4154917,15
Y,13491,37,0,0,3,1,307.530377,256.7060312,39
Y,13495,33,1,3,3,1,407.0801304,229.7751567,39
Y,13658,80,1,3,3,1,424.6821161,237.7035282,27
Y,13739,28,0,0,0,0,312.5231771,238.0564146,3
Y,13943,37,0,0,0,0,442.0215468,216.3715862,3
Y,13980,49,0,0,0,0,353.5989854,256.3981966,3
Y,14007,54,0,0,0,0,433.6730522,203.244637,3
Y,14037,31,0,0,0,0,409.1485216,259.4544144,3
Y,14106,46,0,0,3,1,453.4904622,278.2051573,39
Y,14283,31,1,3,3,1,378.2739807,229.0934857,15
Y,14317,40,0,0,0,0,441.8794028,297.5374212,3
Y,14348,35,1,3,3,1,478.7813642,283.4276881,15
Y,14371,26,1,3,3,1,306.4083971,282.7282611,15
Y,14402,42,0,0,0,0,487.9579286,257.7639695,3
Y,14433,29,1,3,3,1,395.3344168,225.8439042,15
Y,14454,64,0,0,0,0,407.2699594,289.3890075,3
Y,14567,27,1,3,3,1,379.0877688,299.0109925,27
Y,14657,36,0,0,0,0,381.716081,294.1363359,3
Y,14672,28,0,0,0,0,407.9617231,280.9605361,3
Y,14681,43,0,0,0,0,406.0179831,280.6740375,3
Y,14754,30,0,0,0,0,314.091998,237.1152313,3
Y,14774,36,0,0,0,0,406.9149727,207.2321599,3
Y,14813,23,0,0,0,0,384.9877536,270.0603047,3
Y,14834,45,0,0,3,1,433.2945048,287.9368671,51
Y,14902,26,0,0,0,0,447.5352104,200.1041793,3
Y,14906,26,1,3,3,1,365.0423506,259.2186594,15
Y,14914,54,1,3,3,1,350.8267904,270.6347786,27
Y,14988,41,1,3,3,1,394.2240826,273.5766377,15
Y,15022,36,0,0,0,0,353.3807811,226.0079538,3
Y,15062,38,0,0,3,1,383.7752463,243.7187827,39
Y,15114,26,0,0,0,0,431.5070438,211.3786388,3
Y,15261,39,1,3,3,1,322.3594874,293.2065829,15
Y,15443,38,0,0,0,0,466.2453982,232.228851,3
Y,15496,42,0,0,0,0,359.7514225,215.0318794,15
Y,15552,42,0,0,3,1,334.0611881,229.4067776,39
Y,15574,55,0,0,0,0,381.7958848,274.6893164,15
Y,15588,24,1,3,3,1,476.4398722,243.2208827,27
Y,15648,31,0,0,3,1,343.2102791,292.2677631,51
Y,15802,36,1,3,3,1,398.7930693,204.3797776,15
Y,15868,30,1,3,3,1,498.4717202,256.602863,15
Y,15870,34,1,3,3,1,531.0616631,264.4155542,27
Y,15990,48,1,3,3,1,405.1414438,219.7178629,27
Y,16121,48,0,0,0,0,497.2793155,271.5041231,3
Y,16129,31,0,0,0,0,467.2636272,299.7991822,3
Y,16216,55,0,0,0,0,476.3071066,262.6051746,3
Y,16223,38,0,0,0,0,399.3484653,248.4974044,3
Y,16225,44,1,3,3,1,414.6088782,227.4959418,27
Y,16263,53,1,3,3,1,458.2054859,294.4135887,15
Y,16297,45,0,0,0,0,429.9822666,264.4004681,3
Y,16343,30,0,0,0,0,346.5790192,200.180769,3
Y,16631,52,0,0,0,0,325.7226005,246.2572566,3
Y,16633,35,0,0,0,0,453.4860052,247.075852,3
Y,16658,39,0,0,3,1,477.7447775,3639.122417,15
Y,16676,24,1,3,3,1,332.6507681,229.8342035,15
Y,16694,58,0,0,0,0,492.4560309,246.4515959,3
Y,16791,32,1,3,3,1,340.3204371,300.028701,15
Y,16925,26,0,0,0,0,381.72332,292.8526825,3
Y,16986,27,1,3,3,1,453.6523027,242.7164079,15
Y,17097,38,0,0,0,0,412.5045787,202.5511523,3
Y,17117,38,0,0,0,0,382.4784761,200.3267709,3
Y,17277,33,0,0,0,0,364.316137,257.6262269,3
Y,17287,35,0,0,0,0,475.3915718,265.7817899,15
Y,17341,43,1,3,3,1,353.1331688,242.9327272,27
Y,17484,29,0,0,0,0,402.6196884,222.4328959,3
Y,17577,26,1,3,3,1,479.9621226,238.5549313,15
Y,17582,26,1,3,3,1,309.3146165,237.1060634,15
Y,17583,68,1,3,3,1,316.3365475,275.410439,15
Y,17734,51,1,3,3,1,450.6979013,261.5843586,27
Y,17766,65,0,0,0,0,473.5432651,264.7434363,3
Y,18043,25,1,3,3,1,454.2542423,207.9316162,15
Y,18112,59,1,3,3,1,319.3275076,240.739434,15
Y,18122,67,0,0,0,0,427.0065261,286.7038536,3
Y,18202,42,0,0,3,1,381.97663,301.2019407,63
Y,18261,27,1,3,3,1,465.8430111,278.3836843,15
Y,18277,34,1,3,3,1,392.6818597,274.7272237,27
Y,18284,25,1,3,3,1,394.4845581,298.2916125,15
Y,18296,37,1,3,3,1,364.850877,277.4658887,39
Y,18405,47,1,3,3,1,343.4536587,254.1053921,15
Y,18552,45,0,0,3,1,419.5688044,256.9717577,39
Y,18561,25,1,3,3,1,463.5168052,274.8478199,15
Y,18583,39,0,0,0,0,380.2195102,266.5790746,3
Y,18662,28,0,0,0,0,443.63665,213.0921008,3
Y,18743,24,0,0,0,0,466.0926096,204.3521821,3
Y,18829,48,0,0,0,0,453.7500161,209.748008,3
Y,18848,31,0,0,0,0,461.9613611,259.3445166,3
Y,18896,48,0,0,0,0,304.8475187,298.5917768,3
Y,18977,40,0,0,0,0,491.4593947,222.7288041,3
Y,19069,68,1,3,3,1,466.6052025,228.8655067,39
Y,19079,47,1,3,3,1,476.1952936,279.7837934,27
Y,19187,43,1,3,3,1,481.1111868,213.525412,15
Y,19211,35,0,0,0,0,379.4297545,223.8106296,3
Y,19213,32,0,0,0,0,405.6228525,273.5097235,3
Y,19215,60,0,0,3,1,494.699992,220.1106824,39
Y,19216,36,1,3,3,1,460.7554757,279.8738917,15
Y,19233,42,0,0,0,0,311.6153994,282.0816287,3
Y,19246,40,1,3,3,1,468.1030775,271.5713083,27
Y,19265,28,0,0,0,0,461.2182532,265.7722427,3
Y,19319,24,1,3,3,1,448.5530119,255.6490741,15
Y,19436,34,0,0,0,0,374.2643546,203.6396996,3
Y,19485,31,0,0,0,0,343.3637232,227.2045749,3
Y,19528,55,0,0,0,0,314.6050166,264.8608743,3
Y,19605,33,0,0,0,0,456.2582153,274.3886427,3
Y,19634,39,1,3,6,1,468.8292431,247.1424406,27
Y,19757,37,0,0,3,1,321.1943259,287.0009733,63
Y,19799,42,0,0,0,0,444.0778438,238.209489,3
Y,19916,46,0,0,3,1,375.5578538,241.2652567,15
Y,19920,53,0,0,3,1,401.4442877,290.0671343,39
Y,19934,80,0,0,0,0,351.2870865,252.5286669,3
Y,19936,35,1,3,3,1,408.2329358,278.9122774,15
Y,19958,93,1,3,3,1,759.7032919,602.2482383,15
Y,19973,40,1,3,3,1,374.1304254,202.7616203,27
Y,20069,52,1,3,3,1,469.9108715,253.7587452,15
Y,20099,31,1,3,3,1,396.8937461,232.5330602,39
Y,20186,48,0,0,0,0,442.1050266,211.3184283,3
Y,20208,54,1,3,3,1,384.375778,266.4111269,15
Y,20234,44,1,3,3,1,411.0317285,281.1275956,39
Y,20377,39,0,0,0,0,328.4241223,270.1486435,3
Y,20395,23,0,0,0,0,312.9632635,217.919065,3
Y,20429,28,0,0,0,0,416.3027481,257.96682,3
Y,20456,56,0,0,0,0,402.4224606,277.2570152,3
Y,20490,36,1,3,3,1,366.8516325,268.1558862,39
Y,20510,36,0,0,0,0,388.5451066,243.0615387,3
Y,20762,39,0,0,0,0,451.8348129,243.8689255,3
Y,20777,29,0,0,0,0,325.8835291,253.4743811,3
Y,20782,38,1,3,3,1,351.4681269,248.4219527,39
Y,20850,33,0,0,0,0,336.5586034,201.0773576,3
Y,20891,53,0,0,0,0,337.7498379,227.5965444,3
Y,20978,57,0,0,0,0,412.6658296,267.3004218,3
Y,20999,25,0,0,0,0,465.1997277,235.1884025,3
Y,21006,33,1,3,3,1,352.5624134,232.0987317,15
Y,21012,50,0,0,0,0,302.0250364,216.1553222,3
Y,21091,40,0,0,0,0,341.491677,255.7580251,3
Y,21097,53,0,0,0,0,379.5435675,225.5727961,3
Y,21168,23,0,0,0,0,343.73544,248.8234228,3
Y,21212,30,0,0,0,0,453.2684618,250.3094918,3
Y,21298,28,0,0,0,0,319.279147,241.5782624,3
Y,21427,23,1,6,6,1,325.4451616,232.1044146,27
Y,21436,58,1,3,3,1,399.7230123,239.3776308,15
Y,21638,40,0,0,0,0,402.2956632,243.431617,3
Y,21683,55,0,0,0,0,327.115415,252.266971,3
Y,21850,35,1,3,3,1,437.2820627,216.9339658,27
Y,21880,47,0,0,0,0,428.7927126,275.6802091,3
Y,21910,53,0,0,0,0,311.1449932,260.7738477,3
Y,21932,29,0,0,0,0,354.625519,245.0513595,3
Y,22006,39,0,0,0,0,316.5930655,282.4890819,3
Y,22044,40,1,3,3,1,411.2224176,205.1445223,15
Y,22071,25,1,3,3,1,303.523439,208.7943674,15
Y,22135,28,0,0,0,0,469.9092004,265.7015081,3
Y,22234,31,0,0,0,0,408.2623003,268.048854,3
Y,22386,47,1,3,3,1,483.7330378,212.2563055,15
Y,22422,34,1,3,3,1,366.3729832,212.7899072,15
Y,22466,29,1,3,3,1,300.2516225,236.1865229,15
Y,22488,51,0,0,0,0,456.9401234,239.54631,3
Y,22489,30,0,0,0,0,488.0618203,247.731762,3
Y,22525,40,0,0,3,1,303.4944583,206.61882,39
Y,22539,42,0,0,0,0,407.5874554,256.7246679,3
Y,22662,23,0,0,0,0,438.5190561,232.3465884,3
Y,22719,30,0,0,0,0,400.3319038,261.1482051,3
Y,22733,31,0,0,0,0,400.2272276,202.6645943,3
Y,22753,68,0,0,0,0,382.5928391,217.0403047,3
Y,22772,23,0,0,0,0,421.1904318,284.5565932,3
Y,22802,39,1,3,6,1,377.7082165,472.23129,27
Y,22807,33,0,0,0,0,480.6025218,282.532019,3
Y,22877,27,1,3,3,1,404.7845996,273.5884157,15
Y,22885,23,0,0,0,0,451.0333312,279.6347035,3
Y,22887,42,0,0,0,0,319.5442008,287.2836046,3
Y,22926,33,0,0,0,0,444.1640942,216.0265426,3
Y,22964,44,0,0,0,0,491.8631132,262.7743749,3
Y,22985,75,0,0,0,0,403.3464229,203.1881349,3
Y,22989,30,1,3,3,1,392.653349,214.6277925,15
Y,23077,39,1,3,3,1,479.2754466,264.2266468,15
Y,23108,25,1,3,3,1,337.5554929,211.2306895,15
Y,23129,29,0,0,0,0,435.1856757,238.3393506,3
Y,23136,43,1,3,3,1,440.3886452,274.4908539,27
Y,23165,41,0,0,0,0,398.5347225,216.2426463,3
Y,23243,47,0,0,0,0,335.885227,290.8222952,3
Y,23244,44,1,3,3,1,449.0919535,240.7952603,15
Y,23249,43,0,0,0,0,388.9741403,249.0055294,3
Y,23330,68,1,3,3,1,331.7335753,215.434491,27
Y,23381,32,0,0,0,0,389.0106331,275.1714451,3
Y,23448,45,0,0,0,0,460.8665943,279.1209199,3
Y,23511,34,0,0,3,1,341.065422,218.1501332,39
Y,23567,70,0,0,0,0,356.0987129,202.5996815,3
Y,23600,31,1,3,3,1,463.3457559,238.1833081,15
Y,23636,32,0,0,0,0,384.5866909,259.7257689,3
Y,23643,24,1,3,3,1,334.8304097,207.0558179,39
Y,23661,42,0,0,0,0,387.4598249,256.1548901,3
Y,23770,29,0,0,0,0,418.3514781,201.2056743,3
Y,23830,57,0,0,0,0,381.8463465,212.6461451,3
Y,23847,53,0,0,0,0,452.8060449,201.0540539,3
Y,23897,45,1,3,3,1,302.3690724,219.3974995,15
